,Authors,Citations,Date,Full Text Available,Journal,Stats,Summary,Title,Journals,First Author
146,LJ Gibso,414,2000,No,Annual review of materials science,"LJ Gibson - Annual review of materials science, 2000 - annualreviews.org","… with this technique; the porosity that can be achieved depends on the solubility of hydrogen in
the molten metal … Micromechanical models for open- and closed-celled foams are described in
the next section … The composition of the cell wall also affects the properties of the foam …",Mechanical behavior of metallic foams,Annual review of materials science,
147,"AE Simone, LJ Gibso",439,1998,No,Acta Materialia,"AE Simone, LJ Gibson - Acta Materialia, 1998 - Elsevier","… The drainage pattern of a liquid metal foam can affect the structure of the resulting solid … rather
than the faces (Φ 3 approaches 1) the foam behaves more like an open cell foam. Open cell foams
with Plateau borders along the edges have been analyzed by Warren and Kraynik …",Effects of solid distribution on the stiffness and strength of metallic foams,Acta Materialia,AE Simone
148,"DS Grummon, JA Shaw, A Gremille",59,2003,[PDF] umich.edu,Applied Physics Letters,"DS Grummon, JA Shaw, A Gremillet - Applied Physics Letters, 2003 - aip.scitation.org","… In summary, it has been shown that low-density open- cell binary NiTi foams can be produced …
of a polymeric precursor foam structure allows the final foam topology and cell spacing to … Ashby,
A. Evans, N. Fleck, L. Gibson, J. Hutchinson, and H. Wadley, Metal Foams: A Design …",Low-density open-cell foams in the NiTi system,Applied Physics Letters,DS Grummon
149,A Kenned,54,2012,[PDF] intechopen.com,Powder Metallurgy,"A Kennedy - Powder Metallurgy, 2012 - intechopen.com","… pores formed by the hydrogen bubbles, which were originally closed, turn to interconnected
porosity and an open cell green part … Porous Metals and Metal Foams Made from Powders …
Micrograph of a steel foam produced by the slip reaction foaming process (Angel et al., 2004) …",[PDF][PDF] Porous metals and metal foams made from powders,Powder Metallurgy,
150,"AS Suleiman, N Dukha",14,2014,No,Microporous and Mesoporous Materials,"AS Suleiman, N Dukhan - Microporous and Mesoporous Materials, 2014 - Elsevier","Open-cell metal foam is a class of modern mesoporous media that possesses high thermal conductivity, large accessible surface area per unit volume and high porosities (often greater than 90%). When a fluid passes through the foam, the internal structure of the foam, which is",Long-domain simulation of flow in open-cell mesoporous metal foam and direct comparison to experiment,Microporous and Mesoporous Materials,AS Suleiman
151,"JG Carton, AG Olab",48,2017,No,Energy,"JG Carton, AG Olabi - Energy, 2017 - Elsevier","… OPCF materials have an open pore structure composed of isotropic pores which are connected
to each … the size of pore required and state of matter in which the metal is processed … however none
have developed suitable models and electrochemically modelled a fuel cell with a …",Three-dimensional proton exchange membrane fuel cell model: comparison of double channel and open pore cellular foam flow plates,Energy,JG Carton
152,"BA Bouwhuis, JL McCrea, G Palumbo, GD Hibbar",59,2009,No,Acta Materialia,"BA Bouwhuis, JL McCrea, G Palumbo, GD Hibbard - Acta Materialia, 2009 - Elsevier","… In contrast to microtruss materials, conventional metal foams typically fail by bending-dominated
deformation mechanisms [9]. Nanocrystalline electrodeposition can … increase that could be obtained
by the electrodeposition of nanocrystalline Ni–W on an open-cell Al foam [10] …",Mechanical properties of hybrid nanocrystalline metal foams,Acta Materialia,BA Bouwhuis
153,"AM Hodge, DC Dunan",55,2003,[PDF] northwestern.edu,Metallurgical and Materials Transactions A,"AM Hodge, DC Dunand - Metallurgical and Materials Transactions A, 2003 - Springer","… behavior of metal foams, which examine exclusively aluminum foams.[5,6,7] A simple analytical
model based on creep bending of struts within the foam was developed by Gibson and
Ashby[1] and was found to be in general agreement with creep data for open-cell alumina …",Measurement and modeling of creep in open-cell NiAl foams,Metallurgical and Materials Transactions A,AM Hodge
154,"S De Schampheleire, K De Kerpel, P De Jaeger",11,2015,No,Applied Thermal …,"S De Schampheleire, K De Kerpel, P De Jaeger… - Applied Thermal …, 2015 - Elsevier",Heat sinks with open-cell aluminium foam are studied numerically in buoyancy driven convection with air as surrounding medium. Results from a 2D numerical model are compared to experiments for different foam heights. The numerical model is based on the,Buoyancy driven convection in open-cell metal foam using the volume averaging theory,Applied Thermal …,S De Schampheleire
155,"FG Cuevas, JM Montes, J Cintas, P Urba",42,2009,[PDF] researchgate.net,Journal of Porous Materials,"FG Cuevas, JM Montes, J Cintas, P Urban - Journal of Porous Materials, 2009 - Springer","… The second method to produce open-cell foams consists of electrodeposition
of the metal onto the polymer foam, which is then reduced by pyrolysis. In order
to make this, the initial polymer foam is made conductive …",Electrical conductivity and porosity relationship in metal foams,Journal of Porous Materials,FG Cuevas
156,"N Michailidis, F Stergioudi, H Omar",24,2008,No,Advanced Engineering …,"N Michailidis, F Stergioudi, H Omar… - Advanced Engineering …, 2008 - Wiley Online Library","… The main conclusions derived from this study are: – The linear deformation (yielding stage) of
Ni open-cell foams is very small compared to those of ductile metals. An elongation at yield of
only 3 % mm was observed. – The fracture of the metal foam follows a progression of …",Investigation of the mechanical behavior of open‐cell Ni foams by experimental and FEM procedures,Advanced Engineering …,N Michailidis
157,MF Ashb,580,2005,No,… Transactions of the Royal Society A …,"MF Ashby - … Transactions of the Royal Society A …, 2005 - royalsocietypublishing.org","… a comprehensive understanding of mechanical, thermal and electrical properties of foams,
summarized in the texts 'Cellular Solids' (Gibson & Ashby 1997), 'Metal Foams, a Design … One
key finding is that the deformation of most foams, whether open or closed cell, is bending …",The properties of foams and lattices,,
158,MS Al,56,2007,No,Materials Letters,"MS Aly - Materials Letters, 2007 - Elsevier","… high surface area and large volume of interconnected porosity of open cell foams make them …
Eds.), Proceeding International Conference on Cellular Metals and Metal Foaming Technology,
Bremen … 14] A. Paul, U. RamamurtyStrain rate sensitivity of a closed-cell aluminium foam …",Behavior of closed cell aluminium foams upon compressive testing at elevated temperatures: Experimental results,Materials Letters,
159,"R Liu, A Antonio",69,2013,No,Acta Materialia,"R Liu, A Antoniou - Acta Materialia, 2013 - Elsevier","… other techniques such as sintering of metal powders and fibers, gas entrapment, direct foaming
with gas, powder compact melting, casting methods, spray forming etc. [44] … Fig. 5. SEM
micrographs of different open cell NP metal foams: (a) plan view SEM of NP Pt foam, (b) plan …",A relationship between the geometrical structure of a nanoporous metal foam and its modulus,Acta Materialia,R Liu
160,DC Dunan,346,2004,[PDF] northwestern.edu,Advanced engineering materials,"DC Dunand - Advanced engineering materials, 2004 - Wiley Online Library","… The third technically-rele- vant light-metal is titanium, which exhibits excellent mechan- ical
properties … a 130 μm diameter crimpled wire sintered near 1600 C, resulting in a open-cell foam
with 45 … approach was dem- onstrated by Sypeck et al.,[28] who produced a foam with 73 …",Processing of titanium foams,Advanced engineering materials,
161,"C Park, SR Nut",133,2000,No,Materials Science and Engineering: A,"C Park, SR Nutt - Materials Science and Engineering: A, 2000 - Elsevier","… The product typically is a closed-cell foam with a relative density that depends on several … be
sufficiently developed, the inherent advantages of steel foams will undoubtedly open doors to …
achieved a homogeneous distribution of the granular foaming agent in the metal powder …",PM synthesis and properties of steel foams,Materials Science and Engineering: A,C Park
162,"A Manonukul, N Muenya, F Léaux",39,2010,No,Journal of Materials …,"A Manonukul, N Muenya, F Léaux… - Journal of Materials …, 2010 - Elsevier","… This can produce closed-cell foam similar to the direct foaming of melts using gas
method … This suggested that the metal foam obtained from this work was a
closed-cell metal foam with a small amount of open pores at the surface …",Effects of replacing metal powder with powder space holder on metal foam produced by metal injection moulding,Journal of Materials …,A Manonukul
163,"A Della Torre, G Montenegro, GR Tabor",36,2014,[PDF] exeter.ac.uk,International Journal of …,"A Della Torre, G Montenegro, GR Tabor… - International Journal of …, 2014 - Elsevier","… To this purpose, a sample of a real open-cell Al-alloy foam, having relative density equal … of material
compositions from soft biological samples to metal composites, including the metal foams used
here … the most significant parameters used for the X-ray scan of the Al foam sample …",CFD characterization of flow regimes inside open cell foam substrates,International Journal of …,A Della Torre
164,"WS Sanders, LJ Gibso",142,2003,No,Materials Science and Engineering: A,"WS Sanders, LJ Gibson - Materials Science and Engineering: A, 2003 - Elsevier","… cells or curved cell walls, reduce their measured properties to values similar to those for
open-cell foams [2], [3], [4], [5]. Elimination of defects in closed-cell metallic foams could … can be
infiltrated with a bonding material such as epoxy or a low-melting temperature metal to give …",Mechanics of BCC and FCC hollow-sphere foams,Materials Science and Engineering: A,WS Sanders
165,"L Giani, G Groppi, E Troncon",130,2005,No,Industrial & engineering chemistry …,"L Giani, G Groppi, E Tronconi - Industrial & engineering chemistry …, 2005 - ACS Publicatio","… Samples used in this research comprised metal foams of two different nominal cell sizes (10 and …
The foams were characterized by measurements of the pore size, by image analysis, and by
estimation of the open volume fraction ε, calculated from the apparent density of the …",Heat transfer characterization of metallic foams,Industrial & engineering chemistry …,L Giani
166,"BV Krishna, S Bose, A Bandyopadhya",33,2007,No,Materials Science and …,"BV Krishna, S Bose, A Bandyopadhyay - Materials Science and …, 2007 - Elsevier","… Application of metal foams for energy absorption also requires knowledge of foam properties
during compression at high strain rates. Studies [17] on Alulight closed-cell foams and Duocel
open-cell foams up to strain rates of 5000 s −1 showed that the plateau stress was almost …",Strength of open-cell 6101 aluminum foams under free and constrained compression,Materials Science and …,BV Krishna
167,"ST Hong, DR Herlin",51,2007,No,Advanced Engineering Materials,"ST Hong, DR Herling - Advanced Engineering Materials, 2007 - Wiley Online Library","… The effects of the surface area density of open-cell alumi- num foams on the … The experimental
results also suggest that the effective thermal conductivities of the foam-PCM composites … mixture
can be erroneous sine same porosity can be obtained for metal foams with different …",Effects of surface area density of aluminum foams on thermal conductivity of aluminum foam‐phase change material composites,Advanced Engineering Materials,ST Hong
168,"C Hutter, D Büchi, V Zuber, PR von Roh",75,2011,No,Chemical engineering science,"C Hutter, D Büchi, V Zuber, PR von Rohr - Chemical engineering science, 2011 - Elsevier","… 2.1. Porous media. Ghosh (2009) gives an overview on different investigations of
heat transfer in metal foams and asks, “How good is open-cell metal foam as heat
transfer surface?”. In his performance evaluation, he compares …",Heat transfer in metal foams and designed porous media,Chemical engineering science,C Hutter
169,"HX Peng, Z Fan, JRG Evan",108,2001,[PDF] bris.ac.uk,Materials Science and Engineering: A,"HX Peng, Z Fan, JRG Evans - Materials Science and Engineering: A, 2001 - Elsevier","… Bi-continuous metal matrix composites … Higher density preforms consisted of ceramic foams with
open cells … The microstructure of the preform fitted an established relationship between the ratio
of window diameter to cell diameter (k) and void volume fraction (V p ). Low k foams …",Bi-continuous metal matrix composites,Materials Science and Engineering: A,HX Peng
170,"WY Jang, S Kyriakide",83,2009,[HTML] sciencedirect.com,International Journal of Solids and Structures,"WY Jang, S Kyriakides - International Journal of Solids and Structures, 2009 - Elsevier","… Metal foams. Crushing. Micromechanics. 1. Introduction. The second part of this two part series
of papers is concerned with the modeling of all aspects of the compressive response of the Al
foam discussed in Part I. In their studies of polymeric open-cell foams Gong and Kyriakides …",[HTML][HTML] On the crushing of aluminum open-cell foams: Part II analysis,International Journal of Solids and Structures,WY Jang
171,"JB Choi, RS Lake",122,1995,No,International Journal of Mechanical Sciences,"JB Choi, RS Lakes - International Journal of Mechanical Sciences, 1995 - Elsevier","… Open circle; copper foam by optical test, initial relative density 0.04 Open square; copper foam
by MTS machine tension test, initial relative density 0.08 Diamond; copper foam by optical test,
initial … 0.8 in metal foam. The analyses for E and v are based on an idealized cell shape …",Analysis of elastic modulus of conventional foams and of re-entrant foam materials with a negative Poisson's ratio,International Journal of Mechanical Sciences,JB Choi
172,E Pinkhaso,106,1990,No,US Patent 4,"E Pinkhasov - US Patent 4,975,230, 1990 - Google Patent","… densities. According to a feature of the invention, the open cell reticulate structure,
following sintering can be compressed to a desired thickness less than the original
thickness of the metal structure and the substrate foam. The …",Method of making an open pore structure,"US Patent 4,975,230",
173,"LP Lefebvre, J Banhart",545,2008,[PDF] northwestern.edu,Advanced engineering …,"LP Lefebvre, J Banhart… - Advanced engineering …, 2008 - Wiley Online Library","… An open question remains, however, whether the need for more expensive compaction techniques …
The fact that metal foam manufactured from powders in- cludes many processing steps has been …
Most of the recent R&D activities on closed-cell metallic foams have focussed on …",Porous metals and metallic foams: current status and recent developments,Advanced engineering …,LP Lefebvre
174,"C T'Joen, P De Jaeger, H Huisseune",93,2010,[PDF] ugent.be,International Journal of …,"C T'Joen, P De Jaeger, H Huisseune… - International Journal of …, 2010 - Elsevier","… Ghosh [34] recently provided an overview of past experimental and numerical (modeling)
work done on open-cell metal foams. Using a cubic unit-cell model for the foam,
correlations were derived for both the Colburn and friction factor …",Thermo-hydraulic study of a single row heat exchanger consisting of metal foam covered round tubes,International Journal of …,C T'Joen
175,"N Dukhan, PD Quinone",10,2003,No,ASME 2003 …,"N Dukhan, PD Quinones - ASME 2003 …, 2003 - … .asmedigitalcollection.asme.org","abstract A one-dimensional heat transfer model for open-cell metal foam is presented. Three aluminum foams having different areas, relative densities, ligament diameters, and number of pores per inch were analyzed. The effective thermal conductivity and the heat transfer",Convective heat transfer analysis of open cell metal foam for solar air heaters,ASME 2003 …,N Dukhan
176,"N Dukhan, CA Minjeu",49,2011,[PDF] academia.edu,Journal of Porous Materials,"N Dukhan, CA Minjeur - Journal of Porous Materials, 2011 - Springer","… Metal foams differ from traditional porous materials due to their random internal structure and
high porosity (can be higher than 90%) … represents the blockage of the internal structure (ligaments,
nodes and occasional closed faces in the case of open-cell metal foam) to the flow …",A two-permeability approach for assessing flow properties in metal foam,Journal of Porous Materials,N Dukhan
177,"F Laurencelle, J Goyett",120,2007,No,International Journal of Hydrogen Energy,"F Laurencelle, J Goyette - International Journal of Hydrogen Energy, 2007 - Elsevier","… This foam has a random open-cell structure (see Fig. 1). In this paper, we propose to model a
typical cell of this foam as a sphere. Download full-size image. Fig … The pressure composition
isotherm (PCT) reflects the phase diagram of the hydrogen–metal reaction …",Simulation of heat transfer in a metal hydride reactor with aluminium foam,International Journal of Hydrogen Energy,F Laurencelle
178,"J Zhou, C Mercer, WO Soboyej",69,2002,No,Metallurgical and Materials Transactions …,"J Zhou, C Mercer, WO Soboyejo - Metallurgical and Materials Transactions …, 2002 - Springer","… The ERG Duocel open-cell foams were fabricated using a process similar to investment
casting.[1] Initially, a compact of polymer balls or a polymer … cell size and relative density was
selected … At this point, the mold was infiltrated with liquid metal (in this case, 6101 aluminum alloy …",An investigation of the microstructure and strength of open-cell 6101 aluminum foams,Metallurgical and Materials Transactions …,J Zhou
179,"H Yu, G Yao, X Wang, Y Liu, H L",42,2007,No,Applied acoustics,"H Yu, G Yao, X Wang, Y Liu, H Li - Applied acoustics, 2007 - Elsevier","… trend of open-cell metal foams. Ind Mater, 35 (14) (1987), pp. 47-50. [9] F. Baumgärtner, I. Duarte,
J. BanhartIndustrialization of powder compact foaming process. Adv Eng Mater, 2 (4) (2000),
pp. 168-174. [10] JT Beals, MS ThompsonDensity gradient effects on aluminum foam …",Sound insulation property of Al–Si closed-cell aluminum foam sandwich panels,Applied acoustics,H Yu
180,"D Micheli, RB Morles, M Marchetti, F Moglie",63,2014,No,Carbon,"D Micheli, RB Morles, M Marchetti, F Moglie… - Carbon, 2014 - Elsevier","… 4. The foam is a solid structure based on cells connected through open faces … In our model, a
value of k = 0.92 gives a realistic approximation of the RVC cell matrix … For electromagnetic
applications, an accurate metal-to-foam contact is mandatory to obtain high SE performance …",Broadband electromagnetic characterization of carbon foam to metal contact,Carbon,D Micheli
181,"J Skibinski, K Cwieka, T Kowalkowski, B Wysocki",27,2015,No,Materials & Design,"J Skibinski, K Cwieka, T Kowalkowski, B Wysocki… - Materials & Design, 2015 - Elsevier","… aluminum using ceramic foam filters and ceramic particles with active coatings. Metall. Mater.
Trans. A, 34 (5) (2003), pp. 1183-1191, 10.1007/s11661-003-0138-5. [6] W. Azzi, WL Roberts,
A. RabieiA study on pressure drop and heat transfer in open-cell metal foams for jet …",The influence of pore size variation on the pressure drop in open-cell foams,Materials & Design,J Skibinski
182,"S Mancin, C Zilio, A Cavallini, L Rossett",112,2010,No,International Journal of Heat and …,"S Mancin, C Zilio, A Cavallini, L Rossetto - International Journal of Heat and …, 2010 - Elsevier","… 1. Introduction. This study investigates the hydraulic characteristics of air flowing through different
rigid, open-cell, aluminum metal foams. The metal foam consists in a structure that encloses open
cells randomly oriented and mostly homogeneous in size and shape (Fig …",Pressure drop during air flow in aluminum foams,International Journal of Heat and …,S Mancin
183,"AH Brothers, DC Dunan",109,2008,[PDF] semanticscholar.org,Materials Science and Engineering: A,"AH Brothers, DC Dunand - Materials Science and Engineering: A, 2008 - Elsevier","… by extrapolating from a standard specimen with a low and uniform density ρ o , via the
semi-empirical Gibson–Ashby equation for strength in open-cell foams [10]. According to this
equation, the ratio of compressive yield strengths between the foam and the solid metal, σ y /σ …",Mechanical properties of a density-graded replicated aluminum foam,Materials Science and Engineering: A,AH Brothers
184,"G Laschet, T Kashko, S Angel, J Scheele",28,2008,No,Materials Science and …,"G Laschet, T Kashko, S Angel, J Scheele… - Materials Science and …, 2008 - Elsevier","… 6], [7] have been proposed recently in the literature to predict the permeability of open-cell foams …
permeability predictions and the corresponding Stokes flows, obtained by the different unit cell
models, then … 2. Characterisation of metal foams produced by the SRFS-process. 2.1 …",Microstructure based model for permeability predictions of open-cell metallic foams via homogenization,Materials Science and …,G Laschet
185,"S Guarino, G Rubino, V Tagliaferri, N Ucciardell",19,2015,No,Measurement,"S Guarino, G Rubino, V Tagliaferri, N Ucciardello - Measurement, 2015 - Elsevier","… processes have been developed and reported in literatures [1], [6], [7] and [8]. Each method can
be chosen with selected metals, depending on the morphology (closed cell or open cell structure),
density and cell size desired … Open cells metal foams present structures …",Thermal behavior of open cell aluminum foams in forced air: experimental analysis,Measurement,S Guarino
186,"S Arnaboldi, P Bassani, F Passaretti, A Redaelli",15,2011,No,Journal of materials …,"S Arnaboldi, P Bassani, F Passaretti, A Redaelli… - Journal of materials …, 2011 - Springer","In the recent years, the research for novel materials with tailored mechanical properties, as well as functional properties, has encouraged the study of porous and cellular materials. Our previous work proposed and reported about the possibility to manufacture open-cell metal ",Functional Characterization of shape memory CuZnAl open-cell foams by molten metal infiltration,Journal of materials …,S Arnaboldi
187,"M Saber, TT Huu, C Ph",37,2012,[PDF] researchgate.net,uu,"M Saber, TT Huu, C Pham-Huu, D Edouard - Chemical Engineering …, 2012 - Elsevier","… be observed that the highest mass transfer coefficient is obtained for the open-cell foam exhibiting
the … investigations including tri-phasic (gas–liquid–solid) transfer phenomena through different
open-cell foams is required … [1] L. TianjianUltraligh porous metal: from fundamentals …","Residence time distribution, axial liquid dispersion and dynamic–static liquid mass transfer in trickle flow reactor containing β-SiC open-cell foams",Chemical Engineering …,M Saber
188,"H Yu, Z Guo, B Li, G Yao, H Luo, Y Li",87,2007,No,Materials Science and Engineering …,"H Yu, Z Guo, B Li, G Yao, H Luo, Y Liu - Materials Science and Engineering …, 2007 - Elsevier","… on compressive and energy absorption properties, only researches on the open-cell and model …
Closed-cell aluminum foams were prepared by molten body transitional foaming process in …
process has five steps: (1) moltening aluminum (99.99%) and calcium metal in industrial …",Research into the effect of cell diameter of aluminum foam on its compressive and energy absorption properties,Materials Science and Engineering …,H Yu
189,"Q Fabrizio, A Boschetto, L Rovatti, L Sant",18,2011,No,Materials Letters,"Q Fabrizio, A Boschetto, L Rovatti, L Santo - Materials Letters, 2011 - Elsevier","… the grains together [1]. Molten metal was then poured in to infiltrate the pores of the sintered
preform, and the salt dissolved to produce an open-cell foam with cell size about 3–4 mm. In
2001, San Marchi and Mortensen revive the production of high-purity foams by replication [2 …",Replication casting of open-cell AlSi7Mg0. 3 foams,Materials Letters,Q Fabrizio
190,"P Ranut, E Nobile, L Mancin",68,2014,[PDF] researchgate.net,Applied thermal engineering,"P Ranut, E Nobile, L Mancini - Applied thermal engineering, 2014 - Elsevier","… Typically, the pore density of uncompressed open-cell foams varies between 5 and 100 PPI …
literature, several examples are provided about the employment of metal foams in heat … dealing
with both experimental, numerical and analytical investigations: metal foam channels [1 …",High resolution microtomography-based CFD simulation of flow and heat transfer in aluminum metal foams,Applied thermal engineering,P Ranut
191,"X Han, N Kashif, J Bock, AM Jacob",12,2012,[PDF] purdue.edu,201,"X Han, N Kashif, J Bock, AM Jacobi - 2012 - docs.lib.purdue.edu","Metal foams with an open-cell structure have physical and mechanical properties suggesting they might have advantages over conventional fin materials for use in air-cooling heat exchangers. For example, metal foams are low weight, have high to very high specific",Open-cell metal foams for use in dehumidifying heat exchangers,,X Han
192,"Z Rueger, RS Lake",26,2016,[PDF] wisc.edu,Philosophical Magazine,"Z Rueger, RS Lakes - Philosophical Magazine, 2016 - Taylor & Franci","… Softening size effects have also been observed in metal foams in compression and bending;
these have been … Such localization can occur in foam at sufficiently high strain levels … scatter was
observed to be considerably greater in the present low-density open-cell foams than it …",Experimental Cosserat elasticity in open-cell polymer foam,Philosophical Magazine,Z Rueger
193,"A Jung, H Natter, R Hempelmann, S Diebels",12,2010,No,ECS …,"A Jung, H Natter, R Hempelmann, S Diebels… - ECS …, 2010 - ecst.ecsdl.org","In order to enhance their stiffness, strength and energy absorption capability open-cell aluminum foams have been coated with nickel by electrodeposition. The coating thickness distribution is very important for the properties of the coated foams. A method to assess the",Electrodeposition of nanocrystalline metals on open cell metal foams: improved mechanical properties,ECS …,A Jung
194,"G Laschet, J Sauerhering, O Reutter, T Fend",27,2009,No,Computational Materials …,"G Laschet, J Sauerhering, O Reutter, T Fend… - Computational Materials …, 2009 - Elsevier","… As open-cell foams present a random microstructure, it is interesting to analyse the influence
of the … Starting from the center of the digitalized foam part, the RVE was translated successively …
that during this translation, the characteristic periods and the pore/metal threshold remain …",Effective permeability and thermal conductivity of open-cell metallic foams via homogenization on a microstructure model,Computational Materials …,G Laschet
195,"C Yan, L Hao, A Hussein, SL Bubb, P Young",128,2014,No,Journal of Materials …,"C Yan, L Hao, A Hussein, SL Bubb, P Young… - Journal of Materials …, 2014 - Elsevier","… Although DMLS or SLM has been applied to make lattice structures using the metal materials
of stainless steel … tanks (Wang et al., 2006), and for instance, it was reported that aluminium foams
offer good … Duocel aluminium open-cell foam belongs to designed cellular structures …",Evaluation of light-weight AlSi10Mg periodic cellular lattice structures fabricated via direct metal laser sintering,Journal of Materials …,C Yan
196,"R Coquard, M Loretz, D Bailli",40,2008,No,Advanced engineering …,"R Coquard, M Loretz, D Baillis - Advanced engineering …, 2008 - Wiley Online Library","… of the solid portion of the foam conductivity is needed in effective conductivity models. Battacharya,
Calmidi and Mahajan[6] also provided an analysis for estimating the effective thermal conductivity
of high porosity metal foams. They represented the open cell structure by a …",Conductive Heat Transfer in Metallic/Ceramic Open‐Cell Foams,Advanced engineering …,R Coquard
197,"DP Mondal, MD Goel, S Da",100,2009,No,Materials Science and Engineering: A,"DP Mondal, MD Goel, S Das - Materials Science and Engineering: A, 2009 - Elsevier","… Recently, Montanini [8] studied three types of foam including both open cell and closed cell and
observed that … The deformation, in the metal foam, particularly in plateau region is primarily
controlled by bending, shearing, crushing and compaction of cell walls vis-à-vis …",Compressive deformation and energy absorption characteristics of closed cell aluminum-fly ash particle composite foam,Materials Science and Engineering: A,DP Mondal
198,"MS Aly, A Almajid, S Nakano, S Ochia",19,2009,No,Materials Science and …,"MS Aly, A Almajid, S Nakano, S Ochiai - Materials Science and …, 2009 - Elsevier","… 2. Tensile stress– strain curve of open cell copper foam … stress at some weak position over the
strut exceeds the failure strength of the corresponding solid metal, the fracture … A non-uniform
strut thickness or strut containing voids weakens the foam mechanical properties [19], [20 …",Fracture of open cell copper foams under tension,Materials Science and …,MS Aly
199,"S Mancin, C Zilio, A Diani, L Rossett",90,2013,No,… Journal of Heat and Mass Transfer,"S Mancin, C Zilio, A Diani, L Rossetto - … Journal of Heat and Mass Transfer, 2013 - Elsevier","… of the foams, the operation with air appears to be the most viable solution in several applications,
from the air conditioning to the electronic cooling. For this reason several researchers have deeply
analyzed the heat transfer capabilities of open cell metal and carbon foam heat …",Air forced convection through metal foams: Experimental results and modeling,,S Mancin
200,"OB Olurin, M Arnold, C Körner, RF Singe",119,2002,No,Materials Science and …,"OB Olurin, M Arnold, C Körner, RF Singer - Materials Science and …, 2002 - Elsevier","… structural parameters are the relative density, the degree to which the cell is open or closed … The
closed cell aluminium alloy foams studied are the Mepura (cast) alloy foam of composition … These
foams are made by mixing the foaming agent (TiH 2 ) with metal powder, followed …",The investigation of morphometric parameters of aluminium foams using micro-computed tomography,Materials Science and …,OB Olurin
201,"BH Smith, S Szyniszewski, JF Hajjar",152,2012,[PDF] surrey.ac.uk,… of Constructional Steel …,"BH Smith, S Szyniszewski, JF Hajjar… - … of Constructional Steel …, 2012 - Elsevier","… Existing aluminum foam applications have been summarized according to how the advantage
of foaming has been … Load transfer to the support limited by the foam yield … Heat exchanger, X,
X, Open cell metal foams allow fluid transport, potential application for wall to be integrated …","Steel foam for structures: A review of applications, manufacturing and material properties",,BH Smith
202,"EN Schmierer, A Razan",58,2006,No,Journal of …,"EN Schmierer, A Razani - Journal of …, 2006 - … .asmedigitalcollection.asme.org",2,Self-consistent open-celled metal foam model for thermal applications,Journal of …,EN Schmierer
203,"J Chen, D Yang, J Jiang, A Ma, D Son",44,2014,[PDF] sciencedirect.com,Procedia Materials Science,"J Chen, D Yang, J Jiang, A Ma, D Song - Procedia Materials Science, 2014 - Elsevier","… metal, containing a large volume fraction of gas-filled pores. The pores can be sealed
(closed-cell foam) or form an interconnected network (open-cell foam). Due to the high
surface-area to volume ratio and strong mixing capability, high porosity open-cell light-metallic …",Research progress of phase change materials (PCMs) embedded with metal foam (a review),Procedia Materials Science,J Chen
204,K Keega,28,2003,[PDF] googleapis.com,US Patent App. 10/147,"K Keegan - US Patent App. 10/147,406, 2003 - Google Patent","… The material is then heated to a temperature sufficient to soften the metal or metal allow powder,
and decompose the foaming agent, thereby … [0052]. Solidification in an open-celled mold is a
method of making metal foam that uses a reticulated open-cell “polymer” foam as …",Solid oxide fuel cell with a metal foam seal,"US Patent App. 10/147,406",
205,"ZG Xu, JW Fu, TJ Luo, YS Yan",45,2012,[PDF] researchgate.net,Materials & Design,"ZG Xu, JW Fu, TJ Luo, YS Yang - Materials & Design, 2012 - Elsevier","… Later, open cell Mg alloy foam was fabricated by Yamada et al … Direct foaming method, one of
the most successful techniques applied to making close cell metal foams, has not be … and Lin
reported the application of direct foaming method to Mg and Mg alloy foam fabrication [13 …",Effects of cell size on quasi-static compressive properties of Mg alloy foams,Materials & Design,ZG Xu
206,"Y Mu, G Yao, H Lu",41,2010,No,Materials & Design,"Y Mu, G Yao, H Luo - Materials & Design, 2010 - Elsevier","… structural anisotropy and material anisotropy [1]. The more obvious for metal foams is structural …
process is also sensitive to specimen orientation [5]. For the open-cell foam, the mechanical … on
the comparison between anisotropic mechanical properties of closed-cell Al foams …",Effect of cell shape anisotropy on the compressive behavior of closed-cell aluminum foams,Materials & Design,Y Mu
207,"JB Li, HC Lin, JSC Jang, CN Kuo, JC Huan",23,2013,[PDF] nsysu.edu.tw,Materials Letters,"JB Li, HC Lin, JSC Jang, CN Kuo, JC Huang - Materials Letters, 2013 - Elsevier","… Metallic foam materials could exhibit properties like high compressive plastic strain and high
energy absorption … model, the structure of the porous material is simplified to an open-cell porous
material … It is assumed that the deformation of the porous metal is dominated by the …",Novel open-cell bulk metallic glass foams with promising characteristics,Materials Letters,JB Li
208,F Garc,93,2016,[PDF] mdpi.com,oren,"F García-Moreno - Materials, 2016 - mdpi.com","… The resulting nickel metal foam, after being heat treated, is used in applications where high
electrical … to be resistant to the high temperatures of the corresponding molten metal and be … later
to the pores and pore interconnections, respectively, leading to an open cell structure …",Commercial applications of metal foams: Their properties and production,Materials,
